LBFGS Accumulation History: 1 points
Constructing line search parameters: GD
th(0)=3.0814879110195774E-31;dx=-4.31406458661088E-32
Armijo: th(2.154434690031884)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(1.077217345015942)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(0.3590724483386473)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(0.08976811208466183)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(0.017953622416932366)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(0.002992270402822061)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(4.2746720040315154E-4)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(5.343340005039394E-5)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(5.9370444500437714E-6)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(5.937044450043771E-7)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(5.397313136403428E-8)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(4.4977609470028565E-9)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
WOLFE (weak): th(3.4598161130791205E-10)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(2.4218712791553844E-9)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(1.3839264452316482E-9)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(8.649540282697801E-10)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(6.05467819788846E-10)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
WOLFE (weak): th(4.757247155483791E-10)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(5.405962676686125E-10)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
Armijo: th(5.081604916084959E-10)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
WOLFE (weak): th(4.919426035784375E-10)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
WOLFE (weak): th(5.000515475934667E-10)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
WOLFE (weak): th(5.041060196009813E-10)=3.0814879110195774E-31; dx=-4.31406458661088E-32 delta=0.0
mu /= nu: th(0)=3.0814879110195774E-31;th'(0)=-4.31406458661088E-32;
Iteration 1 failed, aborting. Error: 3.0814879110195774E-31 Total: 249862238045647.7800; Orientation: 0.0001; Line Search: 0.0038
